7:45,0,0,0,0,0,0,0
8:15,12,6,36,29,0,30,0
8:45,34,10,62,38,0,24,0
9:15,61,23,81,53,0,26,0
9:45,88,38,93,66,0,28,0
10:15,102,50,96,71,0,28,0
10:45,107,56,97,73,0,28,0
11:15,113,59,97,74,0,28,0
11:45,113,60,92,71,0,27,0
12:15,105,58,87,67,0,27,0
12:45,100,54,87,66,0,27,0
13:15,95,53,88,66,0,27,0
13:45,90,51,91,71,0,27,0
14:15,89,52,97,76,0,26,20
14:45,89,55,105,83,0,25,20
15:15,88,54,108,85,0,27,22
15:45,92,55,112,89,0,27,26
16:15,94,57,111,91,0,26,28
16:45,91,56,112,93,0,25,27
17:15,85,55,111,93,0,63,24
17:45,75,49,107,92,0,60,23
18:15,60,46,102,89,0,62,22
18:45,47,40,98,85,0,60,22
19:15,43,35,93,82,0,57,23
19:45,36,30,83,75,0,53,23
20:15,26,25,73,63,0,45,23
20:45,21,19,64,55,0,35,22
21:15,20,18,44,35,0,25,20
21:45,13,12,27,17,0,20,20
