7:45,0,0,0,0,0
8:15,21,25,11,74,18
8:45,17,47,11,47,14
9:15,22,76,19,21,21
9:45,37,102,32,22,31
10:15,45,114,46,23,42
10:45,49,123,51,23,45
11:15,52,128,54,23,48
11:45,53,128,53,23,52
12:15,51,127,52,24,49
12:45,49,124,51,25,47
13:15,50,121,52,25,51
13:45,50,118,55,26,52
14:15,51,118,58,28,52
14:45,50,116,60,28,49
15:15,49,118,59,29,51
15:45,50,131,61,30,55
16:15,51,131,60,32,56
16:45,51,125,57,31,55
17:15,44,118,51,29,48
17:45,41,108,43,27,42
18:15,34,103,36,25,40
18:45,27,95,29,22,37
19:15,25,87,28,21,30
19:45,23,75,22,20,23
20:15,17,63,19,20,20
20:45,15,44,16,18,15
21:15,12,37,15,0,13
21:45,10,15,11,0,9
