7:45,0,0,0,0,0,0
8:15,23,13,12,23,21,0
8:45,14,7,11,14,11,0
9:15,9,6,5,9,12,0
9:45,8,6,5,7,17,0
10:15,10,6,5,9,25,0
10:45,11,7,7,11,32,0
11:15,14,8,8,14,36,0
11:45,14,8,8,14,41,0
12:15,15,7,10,14,43,0
12:45,15,8,10,14,49,0
13:15,17,8,10,15,51,0
13:45,17,8,11,16,52,0
14:15,18,8,12,16,55,0
14:45,18,9,14,16,55,0
15:15,18,10,15,17,60,0
15:45,19,10,16,18,61,0
16:15,19,11,17,19,65,0
16:45,19,10,18,19,65,0
17:15,19,11,16,17,60,0
17:45,19,11,14,15,50,0
18:15,18,10,12,13,32,0
18:45,16,9,12,12,27,0
19:15,15,10,11,12,27,0
19:45,14,9,9,10,22,0
20:15,12,7,6,7,17,0
20:45,11,6,5,7,14,0
21:15,11,5,6,7,11,0
21:45,11,5,5,6,8,0
